GPU: NVIDIA H200 (SM 90, 132 SMs, 139.8 GB, 1740 MHz)

dtype               M        N        K    time_ms     TFLOPS
──────────── ──────── ──────── ──────── ────────── ──────────
fp8_e4m3         4096     4096     4096      0.101     1354.6
fp8_e4m3         4096     4096     8192      0.186     1478.0
fp8_e4m3         4096     4096    16384      0.358     1534.1
fp8_e4m3         4096     4096    32768      0.700     1571.7
fp8_e4m3         4096     8192     4096      0.197     1392.0
fp8_e4m3         4096     8192     8192      0.373     1472.0
fp8_e4m3         4096     8192    16384      0.716     1535.7
fp8_e4m3         4096     8192    32768      1.414     1555.4
fp8_e4m3         4096    16384     4096      0.383     1433.8
fp8_e4m3         4096    16384     8192      0.724     1518.8
fp8_e4m3         4096    16384    16384      1.389     1583.3
fp8_e4m3         4096    16384    32768      2.831     1553.5
fp8_e4m3         4096    32768     4096      0.781     1407.5
fp8_e4m3         4096    32768     8192      1.456     1509.9
fp8_e4m3         4096    32768    16384      2.838     1549.9
fp8_e4m3         4096    32768    32768      5.667     1552.1
fp8_e4m3         8192     4096     4096      0.205     1343.1
fp8_e4m3         8192     4096     8192      0.381     1443.7
fp8_e4m3         8192     4096    16384      0.688     1599.1
fp8_e4m3         8192     4096    32768      1.346     1634.0
fp8_e4m3         8192     8192     4096      0.392     1401.0
fp8_e4m3         8192     8192     8192      0.749     1467.9
fp8_e4m3         8192     8192    16384      1.415     1553.7
fp8_e4m3         8192     8192    32768      2.836     1550.7
fp8_e4m3         8192    16384     4096      0.782     1406.3
fp8_e4m3         8192    16384     8192      1.428     1539.5
fp8_e4m3         8192    16384    16384      2.834     1551.7
fp8_e4m3         8192    16384    32768      5.685     1547.3
fp8_e4m3         8192    32768     4096      1.527     1439.9
fp8_e4m3         8192    32768     8192      2.853     1541.6
fp8_e4m3         8192    32768    16384      5.715     1539.1
fp8_e4m3         8192    32768    32768     11.343     1551.0
fp8_e4m3        16384     4096     4096      0.401     1371.3
fp8_e4m3        16384     4096     8192      0.753     1459.3
fp8_e4m3        16384     4096    16384      1.375     1599.3
fp8_e4m3        16384     4096    32768      2.839     1549.0
fp8_e4m3        16384     8192     4096      0.791     1389.5
fp8_e4m3        16384     8192     8192      1.448     1518.3
fp8_e4m3        16384     8192    16384      2.883     1525.3
fp8_e4m3        16384     8192    32768      5.768     1525.0
fp8_e4m3        16384    16384     4096      1.529     1437.8
fp8_e4m3        16384    16384     8192      2.881     1526.4
fp8_e4m3        16384    16384    16384      5.732     1534.5
fp8_e4m3        16384    16384    32768     11.351     1549.8
fp8_e4m3        16384    32768     4096      2.989     1471.3
fp8_e4m3        16384    32768     8192      5.812     1513.5
fp8_e4m3        16384    32768    16384     11.442     1537.5
fp8_e4m3        16384    32768    32768     22.567     1559.1
fp8_e4m3        32768     4096     4096      0.797     1379.8
fp8_e4m3        32768     4096     8192      1.462     1503.6
fp8_e4m3        32768     4096    16384      2.874     1530.2
fp8_e4m3        32768     4096    32768      5.765     1525.7
fp8_e4m3        32768     8192     4096      1.557     1412.7
fp8_e4m3        32768     8192     8192      2.856     1540.2
fp8_e4m3        32768     8192    16384      5.784     1520.8
fp8_e4m3        32768     8192    32768     11.462     1534.9
fp8_e4m3        32768    16384     4096      2.999     1466.3
fp8_e4m3        32768    16384     8192      5.805     1515.2
fp8_e4m3        32768    16384    16384     11.502     1529.5
fp8_e4m3        32768    16384    32768     22.691     1550.6
fp8_e4m3        32768    32768     4096      5.942     1480.3
fp8_e4m3        32768    32768     8192     11.612     1515.0
fp8_e4m3        32768    32768    16384     22.867     1538.7
fp8_e4m3        32768    32768    32768     45.210     1556.5

Best achieved: 1634.0 TFLOPS (fp8_e4m3)
H100 SXM theoretical peak (fp8_e4m3 dense): 1978.9 TFLOPS
Achieved 82.6% of theoretical peak
